Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s)
17/09/1983;1.5;0;.7;18.28;81.5;1.566.667
18/09/1983;1.2;0;30.5;18.94;90.25;.533333
19/09/1983;.7;0;18.9;18.78;96;2
20/09/1983;.3;0;15.8;15.96;80.5;2.9
21/09/1983;1.5;0;.2;15.3;84.25;2.633.333
22/09/1983;1.4;0;.3;16.12;95;.933333
23/09/1983;.2;0;24.3;17.7;97.5;1.566.667
24/09/1983;.3;0;19.1;19.6;86.25;1.966.667
25/09/1983;.6;0;3.6;20;82.25;1.7
26/09/1983;1.6;1.2;0;20.7;75;3.833.333
27/09/1983;2.8;1.2;.2;21.02;74;3.233.333
28/09/1983;2.9;1.5;1.9;21.2;80.75;1.533.333
29/09/1983;2.5;.3;3.1;21.3;74.5;4.366.667
30/09/1983;3.1;1.1;0;21.52;73;2.566.667
01/10/1983;3.4;0;0;22;78.75;3.1
02/10/1983;1.7;0;20.2;19.7;96.5;.933333
03/10/1983;.4;0;6.4;19.54;90.25;2.133.333
04/10/1983;1.1;0;7.8;20.74;81;1
05/10/1983;2;.4;1.7;21.96;71.25;1.6
06/10/1983;2.8;.6;0;22.3;70.75;3.133.333
07/10/1983;3.7;0;0;21.44;65.75;1.433.333
08/10/1983;3;1.6;0;22.52;61.5;1.266.667
09/10/1983;2.7;1.8;0;24.1;58.75;1.5
10/10/1983;3.9;.5;0;23.52;68;4.333.333
11/10/1983;4.3;0;0;20.36;83.5;2.666.667
12/10/1983;1.9;0;2.1;18.88;95.5;1.866.667
13/10/1983;.5;0;27.7;18.08;97;2.733.333
14/10/1983;.5;0;27.6;18.82;94.5;2.466.667
15/10/1983;.7;1.6;9.1;21.68;80.5;2.533.333
16/10/1983;2.3;4.9;0;23.54;69.5;1.133.333
17/10/1983;2.1;0;0;24.64;64.25;.366667
18/10/1983;4;0;0;23.48;77.25;1.8
19/10/1983;2.9;0;8.2;19.58;84;1.2
20/10/1983;1.1;0;2.3;20.14;85.5;2.233.333
21/10/1983;1.1;.9;.2;22.64;81;.833333
22/10/1983;1.8;0;11.6;20.66;93.25;2.1
23/10/1983;.7;0;5.6;20.26;87;1.533.333
24/10/1983;1;0;44.4;14.92;85.5;1.866.667
25/10/1983;.8;0;.5;15.78;72.5;.6
26/10/1983;1.6;.1;0;17.62;68.75;2.966.667
27/10/1983;2.7;0;0;18.72;72.75;2.5
28/10/1983;3;1.9;0;20.64;71.25;2.7
29/10/1983;3.2;2.1;0;22.24;69;1.766.667
30/10/1983;3.5;.3;0;21.22;70;1.133.333
31/10/1983;2.7;5.1;0;22.4;59.25;1.933.333
01/11/1983;3.9;0;0;19.86;91;.933333
02/11/1983;.6;0;9.5;21.66;89.5;3.4
03/11/1983;1.2;.6;146.8;22.4;80.75;1.966.667
04/11/1983;1.7;.1;0;21.46;82;.766667
05/11/1983;1.3;8.5;46.2;22.46;70;2.133.333
06/11/1983;3;7.6;0;23.74;54.75;1.6
07/11/1983;3.7;7.6;0;22.78;72;2.8
08/11/1983;3;6.3;0;24.78;61;2.1
09/11/1983;3.6;2.7;0;23.2;75.25;2.6
10/11/1983;2.3;.4;.3;23.54;77.75;1.7
11/11/1983;2;0;1.6;23.04;85.25;.433333
12/11/1983;1.8;.6;8.8;23;89.5;.7
13/11/1983;.8;4.2;2.6;24.58;69;.6
14/11/1983;2.8;6.8;.2;24.32;70.75;.433333
15/11/1983;2.8;1.8;21;22.6;82.5;3.133.333
16/11/1983;1.1;5.4;10.9;22.94;77.25;1.833.333
17/11/1983;2.5;8.6;0;24.66;50;1.1
18/11/1983;4.3;6.5;0;24.14;62.75;1.566.667
19/11/1983;3.5;7.5;0;26.34;60.75;1.266.667
20/11/1983;2.8;0;1.8;23.62;84.25;0
21/11/1983;1.5;0;.3;24.38;82.75;1.733.333
22/11/1983;1.6;0;8.2;21.66;85.25;3.933.333
23/11/1983;1.1;0;17.5;20.58;67.75;2.533.333
24/11/1983;2.6;.5;0;23.02;60;0
25/11/1983;1.9;6.8;0;23.94;67.75;2.4
26/11/1983;3.2;7.3;0;22.26;67;2.333.333
27/11/1983;3.6;6;0;22.04;62.25;3.766.667
28/11/1983;3.8;5.1;0;21.14;59.25;2.3
29/11/1983;4.2;3.9;0;21.2;73.75;2.1
30/11/1983;2.9;7;29.2;22.26;74.75;1.133.333
01/12/1983;2.4;6;40.2;24.16;65;.866667
02/12/1983;2.8;0;.2;22.4;84.25;2.766.667
03/12/1983;.9;0;21.1;20.54;88.5;0
04/12/1983;.7;3.5;1.3;21.62;61.25;1.933.333
05/12/1983;3;2.9;0;22.08;73.25;1.866.667
06/12/1983;2.4;.4;0;21.5;83;1.433.333
07/12/1983;1.4;0;25;22.36;79.25;.666667
08/12/1983;1.4;1.5;2.2;23.72;79.25;.533333
09/12/1983;1.7;.6;0;23.66;73.75;1.2
10/12/1983;1.5;.2;.2;23.92;63.25;1.533.333
11/12/1983;2.4;0;.4;21.64;90.25;.966667
12/12/1983;.8;0;23.5;23.2;92.75;0
13/12/1983;.8;0;11.4;23.3;92.5;.866667
14/12/1983;.8;0;13;22;97.25;.366667
15/12/1983;.4;.1;12;23.16;82.25;.533333
16/12/1983;1.3;.3;.5;22.92;81.5;.7
17/12/1983;1.7;.4;46.8;22.92;82.75;1.6
18/12/1983;1.3;3.4;7.2;24.5;77;1.733.333
19/12/1983;2.4;3.8;1.1;23.78;90;1.333.333
20/12/1983;1.8;1.6;.3;25.46;76.5;2.166.667
21/12/1983;2.9;2.7;1.8;24.78;81.75;1.2
22/12/1983;2.4;0;3.1;23.42;89.5;.5
23/12/1983;1.1;0;5.8;21.98;98.5;1.766.667
24/12/1983;.7;1.4;26.6;21.82;85.25;0
25/12/1983;1.5;0;21.2;20.66;84.5;2.4
26/12/1983;.8;0;9.3;21.5;89.5;.433333
27/12/1983;1.1;0;2.9;21.96;81.5;3.966.667
28/12/1983;1.2;0;61.8;22.08;85.75;1.566.667
29/12/1983;.9;0;6.4;23.98;77.25;0
30/12/1983;2;4.7;.8;24.14;72;2.166.667
31/12/1983;2.1;4.2;.2;24.9;59.5;1.933.333
01/01/1984;3.6;null;0;null;null;null
02/01/1984;4.2;null;null;null;null;null
03/01/1984;2.6;null;null;null;null;null
04/01/1984;2.5;null;null;null;null;null
05/01/1984;2.9;null;null;null;null;null
06/01/1984;2.4;null;null;null;null;null
07/01/1984;2.4;null;null;null;null;null
08/01/1984;2.9;null;null;null;null;null
09/01/1984;3.5;null;null;null;null;null
10/01/1984;4.2;null;null;null;null;null
11/01/1984;3.8;null;null;null;null;null
12/01/1984;4.3;null;null;null;null;null
13/01/1984;5.7;null;null;null;null;null
14/01/1984;5.4;null;null;null;null;null
15/01/1984;6.5;null;null;null;null;null
16/01/1984;4.9;null;null;null;null;null
17/01/1984;5.3;null;null;null;null;null
18/01/1984;6.1;null;null;null;null;null
19/01/1984;5.4;null;null;null;null;null
20/01/1984;4.4;null;null;null;null;null
21/01/1984;2.6;null;null;null;null;null
22/01/1984;1.3;null;null;null;null;null
23/01/1984;.9;null;null;null;null;null
24/01/1984;1.6;null;null;null;null;null
25/01/1984;1.5;null;null;null;null;null
26/01/1984;1.3;null;null;null;null;null
27/01/1984;1.8;null;null;null;null;null
28/01/1984;1.2;null;null;null;null;null
29/01/1984;2.8;null;null;null;null;null
30/01/1984;2.9;null;null;null;null;null
31/01/1984;3.5;null;null;null;null;null
01/02/1984;4.1;null;null;null;null;null
02/02/1984;5.1;null;null;null;null;null
03/02/1984;4;null;null;null;null;null
04/02/1984;4.1;null;null;null;null;null
05/02/1984;5.4;null;null;null;null;null
06/02/1984;4.9;null;null;null;null;null
07/02/1984;3.8;null;null;null;null;null
08/02/1984;2.2;null;null;null;null;null
09/02/1984;4.4;null;null;null;null;null
10/02/1984;5.1;null;null;null;null;null
11/02/1984;3.6;null;null;null;null;null
12/02/1984;4.7;null;null;null;null;null
13/02/1984;3.2;null;null;null;null;null
14/02/1984;4.6;null;null;null;null;null
15/02/1984;5.4;null;null;null;null;null
16/02/1984;5.4;null;null;null;null;null
17/02/1984;5;null;null;null;null;null
18/02/1984;3.6;null;null;null;null;null
19/02/1984;4.1;null;null;null;null;null
20/02/1984;4.6;null;null;null;null;null
21/02/1984;4.2;null;null;null;null;null
22/02/1984;5.2;null;null;null;null;null
23/02/1984;4.5;null;null;null;null;null
24/02/1984;5.2;null;null;null;null;null
25/02/1984;5.1;null;null;null;null;null
26/02/1984;5.5;null;null;null;null;null
27/02/1984;5.7;null;null;null;null;null
28/02/1984;7.3;null;null;null;null;null
29/02/1984;6.7;null;null;null;null;null
01/03/1984;6.1;null;null;null;null;null
02/03/1984;4.6;null;null;null;null;null
03/03/1984;4.3;null;null;null;null;null
04/03/1984;4.2;null;null;null;null;null
05/03/1984;3.7;null;null;null;null;null
